tree_id	node_id	union_node_id	median_value
0	1	0	-0.1451415348520321
0	2	1	-0.13924460596071256
0	3	2	-0.057402775865219
1	1	3	0.06567671698673845
1	2	4	-0.13211629104550926
1	3	5	-0.0274060244351572
1	4	6	-0.23111059683041785
1	5	7	-0.07149681402723435
2	1	0	0.03261270007237785
2	2	8	0.017046796039373202
3	1	9	-0.0776554468312203
3	2	10	-0.09756728154722666
3	3	11	-0.03885065387734475
3	4	12	-0.028441907415428902
3	5	13	-0.0052902591053763
3	6	14	0.1238481681683007
3	7	15	-0.1083600973842789
4	1	3	-0.06899652791575256
4	2	16	-0.10303207153417665
4	3	17	0.04322199723276835
4	4	18	-0.03846769326864265
5	1	0	-0.01541218408140495
5	2	19	-0.02751121508718015
6	1	20	-0.0135557057104853
6	2	21	-0.03465541082212925
6	3	22	0.024970294041013003
7	1	20	-0.08679613947504425
7	2	23	-0.03183618406588985
7	3	24	-0.01152576931965385
8	1	25	0.00503373098234745
8	2	26	0.021087857433315198
8	3	27	-0.02634378827273055
9	1	28	-0.02352055418912485
9	2	29	-0.03923948093737025
9	3	30	0.00042122537572045
9	4	31	-0.032559769996538354
9	5	32	-0.02032876229241535
10	1	33	-0.03540749719391095
10	2	34	-0.0519007249417685
10	3	35	-0.00739091594774415
10	4	36	-0.0706978442527031
11	1	25	-0.0674279499753231
11	2	26	-0.00738646511089605
11	3	37	-0.02038390886554765
12	1	20	-0.06055432243108015
12	2	38	-0.03029844468915105
12	3	39	-0.0394661989794535
12	4	40	-0.0723503370692503
13	1	25	-0.06425195992297256
13	2	27	-0.0697286074366549
13	3	37	0.0230636603904751
13	4	41	-0.051704994988926
14	1	42	-0.05789348043572275
14	2	43	0.04773970212377695
15	1	20	-0.014195075492376301
15	2	42	-0.0420324011392064
15	3	44	-0.067154995778865
16	1	19	0.03778400515661655
16	2	45	-0.02287012949562615
16	3	46	-0.0112406994118751
17	1	20	-0.02479166542577465
17	2	47	-0.025986690152139953
17	3	48	-0.0527293821597106
18	1	0	-0.08678093176717035
18	2	49	-0.03095535202151395
18	3	50	-0.02754074478509585
19	1	3	0.03070800298689435
19	2	51	-0.02310686728256335
19	3	52	-0.0410360058487932
20	1	28	-0.0859039794210211
20	2	53	0.01951886757294425
20	3	54	-0.05467856428010755
20	4	55	-0.0319896948747823
21	1	19	-0.042756853013334095
21	2	56	-0.04027431819252
21	3	57	-0.14177244988645255
22	1	28	0.01182784209700475
22	2	58	-0.0800592542596773
23	1	0	0.028341289032391248
23	2	59	-0.0039706993233082
23	3	60	0.0007908812378189997
23	4	61	0.04487754149817945
23	5	62	-0.058326636465516
23	6	63	0.0026559411566860498
24	1	64	-0.0352852018125289
24	2	65	-0.037940985389291845
24	3	66	-0.10560673587139975
24	4	67	-0.1299236829207226
25	1	3	-0.08081613029674135
25	2	51	-0.06738792660996201
25	3	52	-0.0365078813990108
25	4	68	-0.07754602043741765
25	5	69	0.0298644101170848
26	1	3	-0.0651288518556983
26	2	16	-0.0691795434391336
26	3	70	-0.05360056038764255
26	4	71	-0.0443434081003279
27	1	3	-0.0398682201268727
27	2	72	-0.14300050659948388
27	3	73	-0.0672645960902043
27	4	74	-0.02655183949580935
27	5	75	-0.03043760941047875
28	1	76	-0.07107530987649979
28	2	77	-0.04718452068896945
28	3	78	-0.0171849140881385
28	4	79	-0.09212440430420224
29	1	3	-0.024923507195761
29	2	51	-0.02154460192856145
29	3	52	-0.03309920931100055
29	4	80	-0.036705733592843404
30	1	25	-0.11907549867969565
30	2	26	0.01106486772241695
30	3	37	-0.10319882305036376
30	4	41	-0.049679142126504997
30	5	81	-0.11326851030854275
31	1	3	0.0604475879431298
31	2	4	-0.0131972274357622
31	3	82	5.6371710905600005e-05
31	4	83	0.0040036493925712496
32	1	84	-0.059967081696114505
32	2	85	-0.0114454154203043
32	3	86	0.004993946019619401
33	1	19	-0.01353303441572005
33	2	56	-0.0703400011691808
33	3	87	-0.2212409962509043
34	1	19	-0.02124521741766095
34	2	88	-0.0986497852850258
34	3	89	0.02490220558935175
35	1	0	0.0002282693656903
35	2	19	-0.04056468422565815
36	1	3	-0.0830867694157314
36	2	17	-0.0331566450884028
36	3	90	-0.0561568255117893
37	1	25	-0.2330246304528494
37	2	91	0.04187152012744185
37	3	92	-0.12944869180441076
37	4	93	-0.11824229820978605
37	5	94	0.0239090074309176
37	6	95	-0.11369366837039005
37	7	96	-0.034708031850919197
37	8	97	-0.16084782359018618
37	9	98	-0.0154360425644368
37	10	99	-0.042642928561432855
38	1	9	0.00922340754410665
38	2	100	-0.05619675747846545
38	3	101	-0.06756119101600785
39	1	20	-0.0203514394492861
39	2	102	-0.02631263904412405
39	3	103	-0.0166864328422557
39	4	104	0.0374023164358784
40	1	38	-0.1361992433750449
40	2	105	-0.2146250396004839
40	3	106	-0.11848784325133085
40	4	107	-0.07385087306910529
40	5	108	-0.03386156859488495
40	6	109	-0.0600606203394509
40	7	110	-0.09575005521907495
41	1	64	0.0788441867763141
41	2	111	-0.12238394347101635
41	3	112	-0.15865999566610844
41	4	113	0.0200867178524922
41	5	114	-0.0379641110372185
41	6	115	-0.0537753297052343
42	1	28	-0.0522948041926725
42	2	116	0.01740728934178615
43	1	117	-0.0592303937593985
43	2	118	-0.04375361021905145
43	3	119	-0.02931714409522495
44	1	76	-0.0054766354537213995
44	2	120	-0.011298983369662799
44	3	121	-0.0297804238231221
44	4	122	-0.04791919756221205
45	1	123	0.015343305774822999
45	2	124	-0.1466901924910148
45	3	125	-0.06611311387386784
45	4	126	-0.029778739217242948
46	1	28	-0.0968780778660924
46	2	116	-0.05083631831543255
46	3	127	-0.0609853252973672
47	1	20	0.01213375072047645
47	2	56	-0.062089147069896294
48	1	19	-0.08211257598766705
48	2	89	0.0429714279401868
48	3	128	-0.01725036609090535
49	1	0	-0.07894977915249625
49	2	8	-0.01646926119678905
50	1	3	0.0027145931625396002
50	2	51	-0.034889338151082
50	3	52	-0.024359883872246302
50	4	68	-0.03050647596924765
51	1	20	-0.044789523335608
51	2	102	0.0046085542612628
51	3	103	-0.00562492263301615
52	1	0	-0.06608585019573485
52	2	19	0.0007806389763028499
53	1	0	-0.02625350543877885
53	2	129	-0.02528160520490515
53	3	130	-0.13415797911173466
54	1	84	-0.053635184464171995
54	2	131	-0.034219038046911246
54	3	132	-0.211646514229653
54	4	133	-0.0577577061099253
54	5	134	-0.09177701077094169
55	1	20	-0.0847682586795496
56	1	84	-0.06995755239634546
56	2	135	-0.0067900717545633996
57	1	3	-0.0065787782965057
57	2	73	-0.0141788456344122
57	3	136	-0.0008868961708301
58	1	42	-0.045170640458588
58	2	137	0.01091189572454255
58	3	138	0.04769488064614425
59	1	20	-0.14527874529454815
59	2	139	-0.01925272842351025
59	3	140	-0.0863850384467406
59	4	141	-0.0339084152854769
60	1	25	-0.12563583026209704
60	2	37	0.08050709848902685
60	3	41	-0.00365222545500795
60	4	142	0.040697088996895045
60	5	143	-0.011137990926595748
61	1	42	-0.0431254782340978
61	2	43	-0.023260781754973703
61	3	144	-0.026831386566896
61	4	145	-0.06718552721511725
62	1	20	-0.0252181860677115
62	2	102	-0.07947048834989481
62	3	103	-0.0486463051122046
62	4	146	-0.12622701996228414
63	1	20	0.00105727586320275
63	2	23	-0.0294667943357668
63	3	24	-0.0394555349550626
63	4	147	-0.10021495282423701
64	1	3	-0.02501576794255765
64	2	16	0.008338041421955999
65	1	76	-0.1073920504782804
65	2	77	0.0078243986561105
65	3	148	0.0110496113537645
65	4	149	0.0036044684182971
66	1	3	-0.20027989835522925
66	2	150	-0.0797453200905683
66	3	151	-0.14176790440782366
66	4	152	0.0807029029297254
66	5	153	0.00211712666524395
66	6	154	0.0148056919991695
66	7	155	-0.402570318221107
66	8	156	-0.0032489024725231
66	9	157	-0.1113253583105853
66	10	158	-0.01766588825621055
66	11	159	0.04425155934748815
67	1	3	-0.05478007097173615
67	2	16	-0.058198990829326155
67	3	160	-0.0042715812376352
67	4	161	0.033302429724926
68	1	19	-0.03641901944796545
68	2	117	-0.012122374611627199
68	3	162	0.00397002831126875
69	1	20	-0.02574662538749955
69	2	163	-0.04220075353841585
69	3	164	-0.03804082027966135
69	4	165	-0.0597540567364881
70	1	59	-0.09658629912904926
70	2	60	-0.017365684416791802
70	3	166	-0.0494621541320193
70	4	167	-0.06848520910497635
70	5	168	-0.0619911885980972
71	1	59	-0.05824562252930715
71	2	169	-0.0082063253291189
71	3	170	-0.0545425851221871
71	4	171	-0.12157406160837635
72	1	9	0.06565755651413395
72	2	172	0.0103085923115192
73	1	25	0.0097758805188187
73	2	27	-0.024962358291313998
73	3	37	-0.0706062625648741
73	4	41	0.0355358593642541
73	5	81	-0.12776417391159584
74	1	19	0.0030866142059978
74	2	25	0.0190298675246737
74	3	84	-0.06853482454929515
74	4	173	-0.018227589419587
75	1	174	-0.1691380692572544
75	2	175	-0.0888892255775883
75	3	176	-0.1599333708406937
75	4	177	-0.04010840709064925
75	5	178	-0.06106015495417215
76	1	33	-0.0857369914477917
76	2	179	-0.10734936230310585
76	3	180	-0.05993854818679385
76	4	181	0.1161781879168816
76	5	182	-0.0362148907255303
76	6	183	-0.15000678282122884
76	7	184	-0.088641720078934
76	8	185	-0.05511739288679535
77	1	3	-0.0898793653375083
77	2	38	-0.07718686829728455
77	3	186	-0.0365359997749728
78	1	38	-0.0255203302176807
78	2	187	-0.0294420280509679
79	1	59	-0.07499229505596144
79	2	188	-0.0218968684517349
79	3	189	0.00970979145344155
80	1	0	-0.04513825525676325
80	2	19	0.00392806198461135
80	3	56	-0.049318602804439546
81	1	42	-0.055070288032804796
81	2	44	-0.04354765275640455
81	3	190	-0.075242535787301
81	4	191	-0.0753694590164452
81	5	192	0.0093379659924169
82	1	3	-0.0002455981339974959
82	2	73	0.0011986777983908955
83	1	76	-0.08503648080787629
83	2	193	-0.09393638217401125
83	3	194	-0.1484672409290892
83	4	195	-0.14256362332376527
83	5	196	0.0046579440648317995
83	6	197	-0.0867580950199521
84	1	59	-0.01992059803910335
84	2	188	-0.02718064287679675
84	3	198	0.01401569934404335
85	1	199	-0.05563501787628735
85	2	200	-0.0853787007019817
86	1	0	-0.22299642325296976
86	2	28	0.0036099948204492
86	3	201	-0.0030119013348245396
86	4	202	-0.023593646461834053
87	1	9	-0.0967063195736435
87	2	172	-0.13299382065102125
87	3	203	-0.097084479834425
87	4	204	-0.0849524089974925
87	5	205	-0.026366516626582848
88	1	199	-0.009691621385641249
88	2	206	-0.09922041079549404
88	3	207	0.02015812308410115
89	1	59	-0.019588390565701802
89	2	208	0.06433396449677115
89	3	209	-0.034934375332210554
89	4	210	-0.008620537371183101
89	5	211	0.09558649882805201
89	6	212	0.00648917205720075
89	7	213	-0.03976723650348775
90	1	59	-0.05677196519588975
90	2	214	-0.0734091556327391
90	3	215	-0.048066425917018
90	4	216	-0.07392001617083224
90	5	217	-0.02536457800358885
90	6	218	-0.06705751955605214
91	1	117	-0.02327461179930765
91	2	219	-0.039256305574776246
91	3	220	-0.1776174469103419
91	4	221	-0.018636504230133952
92	1	59	0.063382027924481
92	2	222	0.01209905750250635
92	3	223	-0.12121964009030455
92	4	224	-0.0625784725584051
93	1	59	-0.06709275678771734
93	2	225	-0.0715196759876515
93	3	226	-0.02485420387962435
93	4	227	0.01332728996869755
93	5	228	-0.02291683720115515
94	1	59	-0.0408542419655104
94	2	225	0.1020865327622941
94	3	229	0.01094552238471175
