"","sim","method","metric","observed","value","n","N"
"1",0,"FiTree","mae","observed",0.040328892540821,5,200
"2",0,"FiTree","mae","recoverable",0.0889272789742625,5,200
"3",0,"FiTree","sign","observed",0.75,5,200
"4",0,"FiTree","sign","recoverable",0.611111111111111,5,200
"5",0,"Diffusion","mae","observed",0.48418385626663,5,200
"6",0,"Diffusion","mae","recoverable",0.543038761757525,5,200
"7",0,"Diffusion","sign","observed",0.75,5,200
"8",0,"Diffusion","sign","recoverable",0.611111111111111,5,200
"9",1,"FiTree","mae","observed",0.0483852976682851,5,200
"10",1,"FiTree","mae","recoverable",0.100922070972686,5,200
"11",1,"FiTree","sign","observed",0.666666666666667,5,200
"12",1,"FiTree","sign","recoverable",0.466666666666667,5,200
"13",1,"Diffusion","mae","observed",0.549494736216722,5,200
"14",1,"Diffusion","mae","recoverable",0.836190680092187,5,200
"15",1,"Diffusion","sign","observed",0.444444444444444,5,200
"16",1,"Diffusion","sign","recoverable",0.266666666666667,5,200
"17",2,"FiTree","mae","observed",0.10829814137893,5,200
"18",2,"FiTree","mae","recoverable",0.111153271817516,5,200
"19",2,"FiTree","sign","observed",1,5,200
"20",2,"FiTree","sign","recoverable",0.888888888888889,5,200
"21",2,"Diffusion","mae","observed",0.404153690876836,5,200
"22",2,"Diffusion","mae","recoverable",0.406158440037834,5,200
"23",2,"Diffusion","sign","observed",0.833333333333333,5,200
"24",2,"Diffusion","sign","recoverable",0.611111111111111,5,200
"25",3,"FiTree","mae","observed",0.0603796429836889,5,200
"26",3,"FiTree","mae","recoverable",0.0802372457600845,5,200
"27",3,"FiTree","sign","observed",0.833333333333333,5,200
"28",3,"FiTree","sign","recoverable",0.611111111111111,5,200
"29",3,"Diffusion","mae","observed",0.337811157856413,5,200
"30",3,"Diffusion","mae","recoverable",0.430782015351968,5,200
"31",3,"Diffusion","sign","observed",0.833333333333333,5,200
"32",3,"Diffusion","sign","recoverable",0.611111111111111,5,200
"33",4,"FiTree","mae","observed",0.120664657520369,5,200
"34",4,"FiTree","mae","recoverable",0.100885878302963,5,200
"35",4,"FiTree","sign","observed",0.727272727272727,5,200
"36",4,"FiTree","sign","recoverable",0.722222222222222,5,200
"37",4,"Diffusion","mae","observed",0.384805775862851,5,200
"38",4,"Diffusion","mae","recoverable",2.44338053404608,5,200
"39",4,"Diffusion","sign","observed",0.727272727272727,5,200
"40",4,"Diffusion","sign","recoverable",0.5,5,200
"41",5,"FiTree","mae","observed",0.0267704956073774,5,200
"42",5,"FiTree","mae","recoverable",0.104886208827729,5,200
"43",5,"FiTree","sign","observed",0.6,5,200
"44",5,"FiTree","sign","recoverable",0.533333333333333,5,200
"45",5,"Diffusion","mae","observed",0.660169039917414,5,200
"46",5,"Diffusion","mae","recoverable",0.722299531956632,5,200
"47",5,"Diffusion","sign","observed",0.6,5,200
"48",5,"Diffusion","sign","recoverable",0.466666666666667,5,200
"49",6,"FiTree","mae","observed",0.0992892399109727,5,200
"50",6,"FiTree","mae","recoverable",0.141927606882123,5,200
"51",6,"FiTree","sign","observed",1,5,200
"52",6,"FiTree","sign","recoverable",0.875,5,200
"53",6,"Diffusion","mae","observed",0.458082112285179,5,200
"54",6,"Diffusion","mae","recoverable",0.500712085666059,5,200
"55",6,"Diffusion","sign","observed",0.909090909090909,5,200
"56",6,"Diffusion","sign","recoverable",0.625,5,200
