"","rule","n","N","runtime"
"1","rule_run_diffusion",15,500,129
"2","rule_run_diffusion",15,500,240
"3","rule_run_diffusion",10,500,90
"4","rule_run_diffusion",10,200,27
"5","rule_run_diffusion",5,200,13
"6","rule_run_diffusion",15,500,305
"7","rule_run_diffusion",10,200,29
"8","rule_run_diffusion",10,200,22
"9","rule_run_diffusion",15,500,173
"10","rule_run_diffusion",10,200,28
"11","rule_run_diffusion",10,200,44
"12","rule_run_diffusion",5,200,15
"13","rule_run_diffusion",5,500,28
"14","rule_run_diffusion",15,500,201
"15","rule_run_diffusion",10,200,28
"16","rule_run_diffusion",15,500,165
"17","rule_run_diffusion",15,200,47
"18","rule_run_diffusion",15,200,43
"19","rule_run_diffusion",5,500,25
"20","rule_run_diffusion",15,200,72
"21","rule_run_diffusion",5,500,24
"22","rule_run_diffusion",15,200,39
"23","rule_run_diffusion",15,500,195
"24","rule_run_diffusion",5,200,14
"25","rule_run_diffusion",10,200,28
"26","rule_run_diffusion",15,500,223
"27","rule_run_diffusion",10,200,32
"28","rule_run_diffusion",15,200,91
"29","rule_run_diffusion",10,200,37
"30","rule_run_diffusion",15,500,143
"31","rule_run_diffusion",5,200,13
"32","rule_run_diffusion",15,500,171
"33","rule_run_diffusion",10,500,94
"34","rule_run_diffusion",5,200,16
"35","rule_run_diffusion",10,500,66
"36","rule_run_diffusion",5,200,15
"37","rule_run_diffusion",5,200,16
"38","rule_run_diffusion",5,500,21
"39","rule_run_diffusion",15,200,50
"40","rule_run_diffusion",15,500,167
"41","rule_run_diffusion",5,200,17
"42","rule_run_diffusion",5,200,16
"43","rule_run_diffusion",15,200,66
"44","rule_run_diffusion",5,500,25
"45","rule_run_diffusion",15,500,200
"46","rule_run_diffusion",15,200,36
"47","rule_run_diffusion",5,200,13
"48","rule_run_diffusion",15,200,61
"49","rule_run_diffusion",10,200,50
"50","rule_run_diffusion",15,200,50
"51","rule_run_diffusion",15,500,227
"52","rule_run_diffusion",5,500,18
"53","rule_run_diffusion",10,200,41
"54","rule_run_diffusion",5,500,20
"55","rule_run_diffusion",5,500,29
"56","rule_run_diffusion",10,200,23
"57","rule_run_diffusion",15,500,184
"58","rule_run_diffusion",15,200,79
"59","rule_run_diffusion",15,500,140
"60","rule_run_diffusion",5,200,16
"61","rule_run_diffusion",10,500,106
"62","rule_run_diffusion",15,500,130
"63","rule_run_diffusion",15,200,78
"64","rule_run_diffusion",10,200,39
"65","rule_run_diffusion",10,200,44
"66","rule_run_diffusion",5,200,14
"67","rule_run_diffusion",10,200,37
"68","rule_run_diffusion",10,500,58
"69","rule_run_diffusion",15,200,71
"70","rule_run_diffusion",5,500,26
"71","rule_run_diffusion",10,500,112
"72","rule_run_diffusion",10,200,27
"73","rule_run_diffusion",10,500,57
"74","rule_run_diffusion",10,200,37
"75","rule_run_diffusion",5,500,24
"76","rule_run_diffusion",15,500,201
"77","rule_run_diffusion",15,200,50
"78","rule_run_diffusion",10,200,40
"79","rule_run_diffusion",5,500,23
"80","rule_run_diffusion",15,500,106
"81","rule_run_diffusion",15,200,46
"82","rule_run_diffusion",15,500,203
"83","rule_run_diffusion",5,500,28
"84","rule_run_diffusion",15,200,48
"85","rule_run_diffusion",5,500,28
"86","rule_run_diffusion",15,200,37
"87","rule_run_diffusion",5,500,23
"88","rule_run_diffusion",5,500,19
"89","rule_run_diffusion",10,200,35
"90","rule_run_diffusion",5,200,13
"91","rule_run_diffusion",5,500,26
"92","rule_run_diffusion",10,200,31
"93","rule_run_diffusion",10,200,31
"94","rule_run_diffusion",5,500,26
"95","rule_run_diffusion",15,200,49
"96","rule_run_diffusion",5,200,14
"97","rule_run_diffusion",5,500,27
"98","rule_run_diffusion",15,500,167
"99","rule_run_diffusion",5,200,13
"100","rule_run_diffusion",10,200,48
"101","rule_run_diffusion",5,200,13
"102","rule_run_diffusion",5,200,13
"103","rule_run_diffusion",15,500,139
"104","rule_run_diffusion",5,200,17
"105","rule_run_diffusion",15,500,161
"106","rule_run_diffusion",10,200,27
"107","rule_run_diffusion",5,500,18
"108","rule_run_diffusion",5,500,24
"109","rule_run_diffusion",5,200,15
"110","rule_run_diffusion",10,200,32
"111","rule_run_diffusion",15,200,93
"112","rule_run_diffusion",5,500,20
"113","rule_run_diffusion",5,500,31
"114","rule_run_diffusion",15,500,217
"115","rule_run_diffusion",5,500,29
"116","rule_run_diffusion",5,200,14
"117","rule_run_diffusion",15,200,98
"118","rule_run_diffusion",5,500,22
"119","rule_run_diffusion",5,200,15
"120","rule_run_diffusion",15,500,187
"121","rule_run_diffusion",10,500,98
"122","rule_run_diffusion",15,200,74
"123","rule_run_diffusion",10,200,40
"124","rule_run_diffusion",15,500,192
"125","rule_run_diffusion",5,500,26
"126","rule_run_diffusion",5,500,22
"127","rule_run_diffusion",5,200,13
"128","rule_run_diffusion",15,500,126
"129","rule_run_diffusion",10,200,45
"130","rule_run_diffusion",10,200,45
"131","rule_run_diffusion",5,500,25
"132","rule_run_diffusion",15,500,153
"133","rule_run_diffusion",5,200,19
"134","rule_run_diffusion",15,200,49
"135","rule_run_diffusion",5,200,12
"136","rule_run_diffusion",15,500,202
"137","rule_run_diffusion",5,200,13
"138","rule_run_diffusion",15,200,36
"139","rule_run_diffusion",15,200,67
"140","rule_run_diffusion",5,200,15
"141","rule_run_diffusion",5,200,12
"142","rule_run_diffusion",15,500,121
"143","rule_run_diffusion",10,200,23
"144","rule_run_diffusion",5,500,27
"145","rule_run_diffusion",15,200,46
"146","rule_run_diffusion",15,200,70
"147","rule_run_diffusion",15,500,244
"148","rule_run_diffusion",5,500,36
"149","rule_run_diffusion",15,200,75
"150","rule_run_diffusion",10,500,112
"151","rule_run_diffusion",5,200,14
"152","rule_run_diffusion",10,500,111
"153","rule_run_diffusion",15,500,133
"154","rule_run_diffusion",10,200,32
"155","rule_run_diffusion",5,500,26
"156","rule_run_diffusion",10,200,27
"157","rule_run_diffusion",5,200,18
"158","rule_run_diffusion",10,200,30
"159","rule_run_diffusion",15,500,219
"160","rule_run_diffusion",10,200,23
"161","rule_run_diffusion",5,500,30
"162","rule_run_diffusion",5,500,28
"163","rule_run_diffusion",10,200,50
"164","rule_run_diffusion",5,500,30
"165","rule_run_diffusion",15,200,57
"166","rule_run_diffusion",10,200,25
"167","rule_run_diffusion",5,500,30
"168","rule_run_diffusion",10,200,36
"169","rule_run_diffusion",10,500,56
"170","rule_run_diffusion",5,500,28
"171","rule_run_diffusion",5,200,11
"172","rule_run_diffusion",15,500,156
"173","rule_run_diffusion",5,200,14
"174","rule_run_diffusion",5,500,20
"175","rule_run_diffusion",10,200,47
"176","rule_run_diffusion",15,200,69
"177","rule_run_diffusion",15,200,75
"178","rule_run_diffusion",15,500,163
"179","rule_run_diffusion",15,500,138
"180","rule_run_diffusion",15,200,77
"181","rule_run_diffusion",5,500,30
"182","rule_run_diffusion",10,500,65
"183","rule_run_diffusion",10,500,81
"184","rule_run_diffusion",10,200,18
"185","rule_run_diffusion",15,200,44
"186","rule_run_diffusion",15,200,78
"187","rule_run_diffusion",10,200,19
"188","rule_run_diffusion",5,500,30
"189","rule_run_diffusion",5,200,18
"190","rule_run_diffusion",5,500,21
"191","rule_run_diffusion",15,500,150
"192","rule_run_diffusion",5,200,13
"193","rule_run_diffusion",10,200,35
"194","rule_run_diffusion",15,500,142
"195","rule_run_diffusion",10,200,31
"196","rule_run_diffusion",10,200,25
"197","rule_run_diffusion",10,200,32
"198","rule_run_diffusion",5,500,20
"199","rule_run_diffusion",5,500,25
"200","rule_run_diffusion",15,200,62
"201","rule_run_diffusion",15,200,43
"202","rule_run_diffusion",5,500,20
"203","rule_run_diffusion",15,500,146
"204","rule_run_diffusion",10,500,100
"205","rule_run_diffusion",15,500,186
"206","rule_run_diffusion",15,500,157
"207","rule_run_diffusion",10,200,29
"208","rule_run_diffusion",5,500,30
"209","rule_run_diffusion",5,200,16
"210","rule_run_diffusion",10,200,42
"211","rule_run_diffusion",5,200,14
"212","rule_run_diffusion",15,200,44
"213","rule_run_diffusion",5,200,14
"214","rule_run_diffusion",5,200,13
"215","rule_run_diffusion",15,500,218
"216","rule_run_diffusion",10,200,39
"217","rule_run_diffusion",10,200,46
"218","rule_run_diffusion",10,200,36
"219","rule_run_diffusion",10,200,28
"220","rule_run_diffusion",15,500,123
"221","rule_run_diffusion",15,200,47
"222","rule_run_diffusion",15,200,54
"223","rule_run_diffusion",15,500,225
"224","rule_run_diffusion",5,200,12
"225","rule_run_diffusion",15,200,83
"226","rule_run_diffusion",10,200,33
"227","rule_run_diffusion",5,200,10
"228","rule_run_diffusion",5,200,14
"229","rule_run_diffusion",10,500,101
"230","rule_run_diffusion",15,200,51
"231","rule_run_diffusion",15,500,214
"232","rule_run_diffusion",10,500,110
"233","rule_run_diffusion",5,200,15
"234","rule_run_diffusion",15,500,112
"235","rule_run_diffusion",10,200,23
"236","rule_run_diffusion",15,200,56
"237","rule_run_diffusion",10,200,37
"238","rule_run_diffusion",15,200,45
"239","rule_run_diffusion",15,200,72
"240","rule_run_diffusion",5,200,13
"241","rule_run_diffusion",15,200,49
"242","rule_run_diffusion",5,500,30
"243","rule_run_diffusion",10,500,81
"244","rule_run_diffusion",5,500,25
"245","rule_run_diffusion",10,200,40
"246","rule_run_diffusion",5,500,27
"247","rule_run_diffusion",5,500,25
"248","rule_run_diffusion",5,200,17
"249","rule_run_diffusion",5,500,30
"250","rule_run_diffusion",5,200,12
"251","rule_run_diffusion",15,200,46
"252","rule_run_diffusion",15,200,64
"253","rule_run_diffusion",10,200,47
"254","rule_run_diffusion",10,200,32
"255","rule_run_diffusion",15,500,255
"256","rule_run_diffusion",15,200,90
"257","rule_run_diffusion",15,500,212
"258","rule_run_diffusion",5,500,22
"259","rule_run_diffusion",5,200,17
"260","rule_run_diffusion",15,500,179
"261","rule_run_diffusion",15,500,160
"262","rule_run_diffusion",15,500,174
"263","rule_run_diffusion",10,200,35
"264","rule_run_diffusion",5,500,22
"265","rule_run_diffusion",5,500,27
"266","rule_run_diffusion",5,500,29
"267","rule_run_diffusion",10,200,33
"268","rule_run_diffusion",15,500,207
"269","rule_run_diffusion",15,200,54
"270","rule_run_diffusion",5,500,30
"271","rule_run_diffusion",10,200,26
"272","rule_run_diffusion",10,200,26
"273","rule_run_diffusion",5,200,10
"274","rule_run_diffusion",5,500,23
"275","rule_run_diffusion",10,500,68
"276","rule_run_diffusion",10,500,63
"277","rule_run_diffusion",5,500,28
"278","rule_run_diffusion",5,200,14
"279","rule_run_diffusion",15,500,128
"280","rule_run_diffusion",5,500,23
"281","rule_run_diffusion",5,200,13
"282","rule_run_diffusion",10,200,44
"283","rule_run_diffusion",10,500,106
"284","rule_run_diffusion",5,200,16
"285","rule_run_diffusion",15,200,52
"286","rule_run_diffusion",15,500,160
"287","rule_run_diffusion",15,200,52
"288","rule_run_diffusion",15,500,190
"289","rule_run_diffusion",15,200,47
"290","rule_run_diffusion",15,500,142
"291","rule_run_diffusion",5,200,12
"292","rule_run_diffusion",10,500,96
"293","rule_run_diffusion",5,200,18
"294","rule_run_diffusion",5,500,24
"295","rule_run_diffusion",15,500,195
"296","rule_run_diffusion",15,200,53
"297","rule_run_diffusion",5,200,17
"298","rule_run_diffusion",5,500,26
"299","rule_run_diffusion",15,500,132
"300","rule_run_diffusion",5,500,22
"301","rule_run_diffusion",15,500,193
"302","rule_run_diffusion",15,200,48
"303","rule_run_diffusion",15,200,46
"304","rule_run_diffusion",10,500,55
"305","rule_run_diffusion",5,500,22
"306","rule_run_diffusion",15,500,219
"307","rule_run_diffusion",10,200,39
"308","rule_run_diffusion",15,500,221
"309","rule_run_diffusion",15,500,210
"310","rule_run_diffusion",15,500,183
"311","rule_run_diffusion",15,200,63
"312","rule_run_diffusion",5,500,29
"313","rule_run_diffusion",5,200,12
"314","rule_run_diffusion",10,200,41
"315","rule_run_diffusion",5,200,13
"316","rule_run_diffusion",15,200,32
"317","rule_run_diffusion",5,200,16
"318","rule_run_diffusion",15,200,48
"319","rule_run_diffusion",15,200,89
"320","rule_run_diffusion",5,200,18
"321","rule_run_diffusion",5,200,15
"322","rule_run_diffusion",5,200,20
"323","rule_run_diffusion",15,500,199
"324","rule_run_diffusion",5,200,17
"325","rule_run_diffusion",5,500,30
"326","rule_run_diffusion",5,500,22
"327","rule_run_diffusion",5,500,29
"328","rule_run_diffusion",15,200,98
"329","rule_run_diffusion",5,200,14
"330","rule_run_diffusion",15,500,195
"331","rule_run_diffusion",5,200,14
"332","rule_run_diffusion",5,500,21
"333","rule_run_diffusion",5,200,13
"334","rule_run_diffusion",10,200,30
"335","rule_run_diffusion",5,500,29
"336","rule_run_diffusion",15,500,135
"337","rule_run_diffusion",5,500,28
"338","rule_run_diffusion",15,500,134
"339","rule_run_diffusion",5,200,13
"340","rule_run_diffusion",5,200,16
"341","rule_run_diffusion",5,200,16
"342","rule_run_diffusion",15,200,48
"343","rule_run_diffusion",15,200,83
"344","rule_run_diffusion",15,500,187
"345","rule_run_diffusion",10,200,33
"346","rule_run_diffusion",15,200,59
"347","rule_run_diffusion",5,500,25
"348","rule_run_diffusion",15,200,63
"349","rule_run_diffusion",15,500,272
"350","rule_run_diffusion",5,200,15
"351","rule_run_diffusion",15,500,120
"352","rule_run_diffusion",5,200,13
"353","rule_run_diffusion",10,200,24
"354","rule_run_diffusion",15,200,86
"355","rule_run_diffusion",10,200,32
"356","rule_run_diffusion",15,200,61
"357","rule_run_diffusion",5,500,25
"358","rule_run_diffusion",15,200,79
"359","rule_run_diffusion",15,500,214
"360","rule_run_diffusion",5,500,26
"361","rule_run_diffusion",5,500,29
"362","rule_run_diffusion",5,500,24
"363","rule_run_diffusion",5,200,15
"364","rule_run_diffusion",5,500,20
"365","rule_run_diffusion",15,500,146
"366","rule_run_diffusion",5,500,27
"367","rule_run_diffusion",5,500,20
"368","rule_run_diffusion",15,200,43
"369","rule_run_diffusion",10,200,31
"370","rule_run_diffusion",15,200,48
"371","rule_run_diffusion",15,500,210
"372","rule_run_diffusion",5,500,30
"373","rule_run_diffusion",5,500,31
"374","rule_run_diffusion",10,200,31
"375","rule_run_diffusion",10,500,113
"376","rule_run_diffusion",15,200,34
"377","rule_run_diffusion",10,500,81
"378","rule_run_diffusion",10,200,25
"379","rule_run_diffusion",15,200,33
"380","rule_run_diffusion",5,500,24
"381","rule_run_diffusion",5,200,14
"382","rule_run_diffusion",5,200,20
"383","rule_run_diffusion",5,500,34
"384","rule_run_diffusion",5,500,31
"385","rule_run_diffusion",10,200,41
"386","rule_run_diffusion",5,200,12
"387","rule_run_diffusion",10,200,23
"388","rule_run_diffusion",15,500,229
"389","rule_run_diffusion",15,200,62
